Mô tả,Link,Danh mục
"Tài liệu hướng dẫn DSA (bằng tiếng Trung)",https://www.hello-algo.com/en/?fbclid=IwY2xjawMDgh9leHRuA2FlbQIxMABicmlkETF0Z2diZ1draWFxdnJsTjNhAR76hflm4FWPP72-ruSEs7LtuYlKC-3WMx34PkaXuz3WADiiV5mnAVcYjlGZaQ_aem_0a-lQ-Elw3S6zM-cpg0Xhw
"Youtube hướng dẫn DevOps",https://www.youtube.com/@TechWorldwithNana/playlists
"Youtube hướng dẫn shortcut VS Code",https://www.youtube.com/watch?v=HewjjEmMZfA&list=PLry1kjfeC-JbyyEtZD9mk4hd4Oc9F0UxX
"Github chia sẻ DSA",https://github.com/Algo-Voyager/cheat-sheet-cp
"Python code DSA",https://github.com/DNofulla/icsi-435-BFS-DFS-UCS
"DSA đầy đủ bằng Java",https://github.com/mazhar266/Java
"DSA đầy đủ bằng C++",https://github.com/mazhar266/C-Plus-Plus
"Thuật toán deep fake (đổi mặt)",https://github.com/mazhar266/swap-face
"Câu hỏi thi/đấu DSA",https://github.com/smv1999/CompetitiveProgrammingQuestionBank
"Thuật toán bằng C#",https://github.com/aalhour/C-Sharp-Algorithms
"Triển khai mô hình học máy",https://github.com/KI-labs/kaos
"CS 107: Programming Paradigms",https://github.com/7etsuo/CS107-Programming-Paradigms
"Bài tập Python",https://github.com/zhiwehu/Python-programming-exercises
"DSA bằng Swift",https://github.com/kodecocodes/swift-algorithm-club
"Tài liệu dạy Python",https://github.com/squillero/python-lectures
"Design pattern Python",https://github.com/aalhour/python-patterns
"Hướng dẫn code Python",https://github.com/aalhour/intro-to-information-theory-code-book
"Telegram bot hay",https://github.com/DenisIzmaylov/awesome-telegram-bots
"MMO backend bằng Python",https://github.com/PanTrakX/Generic-MMO-Backend
"Extension bot Telegram",https://github.com/PaiGramTeam/PamGram
"Zalo bot ví dụ",https://github.com/Aedotris/example-zalo-bot
"Zalo bot API",https://github.com/ttpro1995/zalo-python-sdk
"Github user code Python",https://github.com/AbdelrhmanNile
"Robot Framework tutorial",https://github.com/mazhar266/robot-framework-tutorial
"Deep Learning models",https://github.com/mazhar266/deeplearning-models
"UI cho IoT (ThingsBoard)",https://github.com/mazhar266/thingsboard?tab=readme-ov-file
"AI Agent (SerpentAI)",https://github.com/mazhar266/SerpentAI
"Thương mại điện tử (Saleor)",https://github.com/saleor
"Github user AI & Blockchain",https://github.com/ErikBjare
"Học giám sát (Supervised Learning)",https://github.com/roboflow
"API miễn phí",https://github.com/public-apis/public-apis
"Trader - PineScript",https://github.com/pAulseperformance/awesome-pinescript
"Phân tích khuôn mặt",https://github.com/deepinsight/insightface
"Phân tích và giải nén file nhị phân",https://github.com/redballoonsecurity/ofrak
"Thuật toán băm",https://github.com/OALabs/hashdb
"Công cụ mạng (.NET)",https://github.com/AGDCservices/Networking-Scripts
"Hỗ trợ điều khiển robot (OpenPilot)",https://github.com/commaai/openpilot
"Dịch ngược file exe",https://github.com/WithSecureLabs/python-exe-unpacker
"Nhận dạng output (pyWhat)",https://github.com/bee-san/pyWhat
"Kiểm tra lỗi C/C++",https://github.com/david-a-wheeler/flawfinder
"Bộ khóa băm (shrack)",https://github.com/d4rckh/shrack
"Định dạng văn bản terminal (Rich)",https://github.com/Textualize/rich
"Kiểm tra rò rỉ .git",https://github.com/Ebryx/GitDump
"Kiểm tra HTTP Request Smuggling",https://github.com/defparam/smuggler
"Tool scan APK tìm URI",https://github.com/dwisiswant0/apkleaks
"Tips cải thiện Python",https://github.com/SigmaQuan/Better-Python-59-Ways
"Tricks lập trình Python",https://github.com/brennerm/PyTricks
"Khởi thiết bị nhúng (Routersploit)",https://github.com/threat9/routersploit
"API Instagram OSINT",https://github.com/sc1341/InstagramOSINT
"Phân tích nhị phân ứng dụng",https://github.com/carlosgprado/BrundleFuzz
"Bot theo dõi Tor",https://github.com/kaiiyer/TorBot
"Bộ xử lý RISC-V 32 bit",https://github.com/aalhour/minerva
"Hỗ trợ xây dựng AI agent",https://github.com/agno-agi/agno
"Xác suất với Python (Pyro)",https://github.com/pyro-ppl/pyro
"250+ cấu trúc dữ liệu mở rộng",https://github.com/mahmoud/boltons
"Mã hóa chống deep fake (Fawkes)",https://github.com/Shawn-Shan/fawkes
"Tổng hợp tin tức Telegram",https://github.com/NyanNyanovich/nyan
"Clone giọng nói thời gian thực",https://github.com/CorentinJ/Real-Time-Voice-Cloning
